CDC	CHEFLIE	REG	DEP	COM	AR	CT	TNCC	ARTMAJ	NCC	ARTMIN
0	0	52	44	001	1	08	1		ABBARETZ		Abbaretz
0	0	52	44	002	2	07	1		AIGREFEUILLE-SUR-MAINE		Aigrefeuille-sur-Maine
0	2	52	44	003	4	01	1		ANCENIS		Ancenis
0	0	52	44	005	3	20	0		CHAUMES-EN-RETZ		Chaumes-en-Retz
0	0	52	44	006	3	09	1		ASSERAC		Assérac
0	0	52	44	007	1	19	1		AVESSAC		Avessac
0	0	52	44	009	2	29	0		BASSE-GOULAINE		Basse-Goulaine
0	0	52	44	010	3	02	0		BATZ-SUR-MER		Batz-sur-Mer
0	0	52	44	012	3	20	3	(LA)	BERNERIE-EN-RETZ	(La)	Bernerie-en-Retz
0	0	52	44	013	3	27	0		BESNE		Besné
0	0	52	44	014	2	28	2	(LE)	BIGNON	(Le)	Bignon
0	1	52	44	015	1	03	0		BLAIN		Blain
0	0	52	44	016	2	30	3	(LA)	BOISSIERE-DU-DORE	(La)	Boissière-du-Doré
0	0	52	44	017	4	01	0		BONNŒUVRE		Bonnœuvre
0	0	52	44	018	2	21	0		BOUAYE		Bouaye
0	0	52	44	019	3	03	0		BOUEE		Bouée
0	0	52	44	020	2	21	0		BOUGUENAIS		Bouguenais
0	0	52	44	021	3	10	0		VILLENEUVE-EN-RETZ		Villeneuve-en-Retz
0	0	52	44	022	2	07	0		BOUSSAY		Boussay
0	0	52	44	023	1	03	0		BOUVRON		Bouvron
0	0	52	44	024	2	21	0		BRAINS		Brains
0	0	52	44	025	3	03	0		CAMPBON		Campbon
0	1	52	44	026	2	04	0		CARQUEFOU		Carquefou
0	0	52	44	027	1	18	0		CASSON		Casson
0	0	52	44	028	4	18	2	(LE)	CELLIER	(Le)	Cellier
0	0	52	44	029	2	30	0		DIVATTE-SUR-LOIRE		Divatte-sur-Loire
0	0	52	44	030	3	09	3	(LA)	CHAPELLE-DES-MARAIS	(La)	Chapelle-des-Marais
0	0	52	44	031	1	06	3	(LA)	CHAPELLE-GLAIN	(La)	Chapelle-Glain
0	0	52	44	032	2	30	3	(LA)	CHAPELLE-HEULIN	(La)	Chapelle-Heulin
0	0	52	44	033	3	03	3	(LA)	CHAPELLE-LAUNAY	(La)	Chapelle-Launay
0	1	52	44	035	2	05	3	(LA)	CHAPELLE-SUR-ERDRE	(La)	Chapelle-sur-Erdre
0	2	52	44	036	1	06	0		CHATEAUBRIANT		Châteaubriant
0	0	52	44	037	2	31	0		CHATEAU-THEBAUD		Château-Thébaud
0	0	52	44	038	3	20	0		CHAUVE		Chauvé
0	0	52	44	039	2	10	0		CHEIX-EN-RETZ		Cheix-en-Retz
0	0	52	44	041	2	28	3	(LA)	CHEVROLIERE	(La)	Chevrolière
0	1	52	44	043	2	07	0		CLISSON		Clisson
0	0	52	44	044	1	08	0		CONQUEREUIL		Conquereuil
0	0	52	44	045	2	03	0		CORDEMAIS		Cordemais
0	0	52	44	046	3	23	0		CORSEPT		Corsept
0	0	52	44	047	2	24	0		COUERON		Couëron
0	0	52	44	048	4	01	0		COUFFE		Couffé
0	0	52	44	049	3	02	2	(LE)	CROISIC	(Le)	Croisic
0	0	52	44	050	3	19	0		CROSSAC		Crossac
0	0	52	44	051	1	08	0		DERVAL		Derval
0	0	52	44	052	3	27	0		DONGES		Donges
0	0	52	44	053	3	19	0		DREFFEAC		Drefféac
0	0	52	44	054	1	06	1		ERBRAY		Erbray
0	1	52	44	055	3	02	3	(LA)	BAULE-ESCOUBLAC	(La)	Baule-Escoublac
0	0	52	44	056	1	05	0		FAY-DE-BRETAGNE		Fay-de-Bretagne
0	0	52	44	057	1	19	0		FEGREAC		Fégréac
0	0	52	44	058	1	06	0		FERCE		Fercé
0	0	52	44	061	3	23	0		FROSSAY		Frossay
0	0	52	44	062	1	03	2	(LE)	GAVRE	(Le)	Gâvre
0	0	52	44	063	2	07	0		GETIGNE		Gétigné
0	0	52	44	064	2	07	0		GORGES		Gorges
0	0	52	44	065	1	06	0		GRAND-AUVERNE		Grand-Auverné
0	0	52	44	066	2	05	0		GRANDCHAMPS-DES-FONTAINES		Grandchamps-des-Fontaines
0	1	52	44	067	1	08	0		GUEMENE-PENFAO		Guémené-Penfao
0	0	52	44	068	3	19	0		GUENROUET		Guenrouet
0	1	52	44	069	3	09	0		GUERANDE		Guérande
0	0	52	44	070	2	31	3	(LA)	HAIE-FOUASSIERE	(La)	Haie-Fouassière
0	0	52	44	071	2	29	0		HAUTE-GOULAINE		Haute-Goulaine
0	0	52	44	072	3	09	1		HERBIGNAC		Herbignac
0	0	52	44	073	1	18	1		HERIC		Héric
0	0	52	44	074	2	24	1		INDRE		Indre
0	0	52	44	075	1	06	1		ISSE		Issé
0	0	52	44	076	1	08	0		JANS		Jans
0	0	52	44	077	4	18	0		JOUE-SUR-ERDRE		Joué-sur-Erdre
0	0	52	44	078	1	06	0		JUIGNE-DES-MOUTIERS		Juigné-des-Moutiers
0	0	52	44	079	2	30	2	(LE)	LANDREAU	(Le)	Landreau
0	0	52	44	080	3	03	0		LAVAU-SUR-LOIRE		Lavau-sur-Loire
0	0	52	44	081	2	28	0		LEGE		Legé
0	0	52	44	082	4	18	0		LIGNE		Ligné
0	0	52	44	083	2	28	3	(LA)	LIMOUZINIERE	(La)	Limouzinière
0	0	52	44	084	2	30	2	(LE)	LOROUX-BOTTEREAU	(Le)	Loroux-Bottereau
0	0	52	44	085	1	06	0		LOUISFERT		Louisfert
0	0	52	44	086	1	08	0		LUSANGER		Lusanger
0	1	52	44	087	2	10	0		MACHECOUL-SAINT-MEME		Machecoul-Saint-Même
0	0	52	44	088	2	07	0		MAISDON-SUR-SEVRE		Maisdon-sur-Sèvre
0	0	52	44	089	3	03	0		MALVILLE		Malville
0	0	52	44	090	2	10	3	(LA)	MARNE	(La)	Marne
0	0	52	44	091	1	08	0		MARSAC-SUR-DON		Marsac-sur-Don
0	0	52	44	092	1	08	0		MASSERAC		Massérac
0	0	52	44	093	4	01	0		MAUMUSSON		Maumusson
0	0	52	44	094	2	04	0		MAUVES-SUR-LOIRE		Mauves-sur-Loire
0	0	52	44	095	1	06	3	(LA)	MEILLERAYE-DE-BRETAGNE	(La)	Meilleraye-de-Bretagne
0	0	52	44	096	4	01	0		MESANGER		Mésanger
0	0	52	44	097	3	09	0		MESQUER		Mesquer
0	0	52	44	098	3	19	0		MISSILLAC		Missillac
0	0	52	44	099	1	06	0		MOISDON-LA-RIVIERE		Moisdon-la-Rivière
0	0	52	44	100	2	07	0		MONNIERES		Monnières
0	0	52	44	101	2	23	3	(LA)	MONTAGNE	(La)	Montagne
0	0	52	44	102	2	28	0		MONTBERT		Montbert
0	0	52	44	103	3	27	0		MONTOIR-DE-BRETAGNE		Montoir-de-Bretagne
0	0	52	44	104	4	01	0		MONTRELAIS		Montrelais
0	0	52	44	105	1	08	0		MOUAIS		Mouais
0	0	52	44	106	3	20	4	(LES)	MOUTIERS-EN-RETZ	(Les)	Moutiers-en-Retz
0	0	52	44	107	4	18	0		MOUZEIL		Mouzeil
0	0	52	44	108	2	30	0		MOUZILLON		Mouzillon
1	4	52	44	109	2	96	0		NANTES		Nantes
0	1	52	44	110	1	18	0		NORT-SUR-ERDRE		Nort-sur-Erdre
0	0	52	44	111	1	18	0		NOTRE-DAME-DES-LANDES		Notre-Dame-des-Landes
0	0	52	44	112	1	06	0		NOYAL-SUR-BRUTZ		Noyal-sur-Brutz
0	0	52	44	113	1	08	0		NOZAY		Nozay
0	0	52	44	114	2	25	1		ORVAULT		Orvault
0	0	52	44	115	4	01	1		OUDON		Oudon
0	0	52	44	116	3	23	0		PAIMBŒUF		Paimbœuf
0	0	52	44	117	2	30	2	(LE)	PALLET	(Le)	Pallet
0	0	52	44	118	4	01	0		PANNECE		Pannecé
0	0	52	44	119	2	10	0		PAULX		Paulx
0	0	52	44	120	2	23	2	(LE)	PELLERIN	(Le)	Pellerin
0	0	52	44	121	1	06	0		PETIT-AUVERNE		Petit-Auverné
0	0	52	44	122	1	18	0		PETIT-MARS		Petit-Mars
0	0	52	44	123	1	08	0		PIERRIC		Pierric
0	0	52	44	124	4	01	2	(LE)	PIN	(Le)	Pin
0	0	52	44	125	3	09	0		PIRIAC-SUR-MER		Piriac-sur-Mer
0	0	52	44	126	3	20	3	(LA)	PLAINE-SUR-MER	(La)	Plaine-sur-Mer
0	0	52	44	127	2	07	3	(LA)	PLANCHE	(La)	Planche
0	0	52	44	128	1	19	0		PLESSE		Plessé
