"id",categorie,sous-categorie,activite,naf
"1","Agiculture, sylviculture et pêche","Culture et production animale, chasse et services annexes","Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses","01.11Z"
"2","Agiculture, sylviculture et pêche","Culture et production animale, chasse et services annexes","Culture du riz","01.12Z"
"3","Agiculture, sylviculture et pêche","Culture et production animale, chasse et services annexes","Culture de légumes, de melons, de racines et de tubercules","01.13Z"
"4","Agiculture, sylviculture et pêche","Culture et production animale, chasse et services annexes","Culture de la canne à sucre","01.14Z"
"5","Agiculture, sylviculture et pêche","Culture et production animale, chasse et services annexes","Culture du tabac","01.15Z"
"6","Agiculture, sylviculture et pêche","Culture et production animale, chasse et services annexes","Culture de plantes à fibres","01.16Z"
"7","Agiculture, sylviculture et pêche","Culture et production animale, chasse et services annexes","Autres cultures non permanentes","01.19Z"
"8","Agiculture, sylviculture et pêche","Culture et production animale, chasse et services annexes","Culture de la vigne","01.21Z"
"9","Agiculture, sylviculture et pêche","Culture et production animale, chasse et services annexes","Culture de fruits tropicaux et subtropicaux","01.22Z"
"10","Agiculture, sylviculture et pêche","Culture et production animale, chasse et services annexes","Culture d'agrumes","01.23Z"
"11","Agiculture, sylviculture et pêche","Culture et production animale, chasse et services annexes","Culture de fruits à pépins et à noyau","01.24Z"
"12","Agiculture, sylviculture et pêche","Culture et production animale, chasse et services annexes","Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque","01.25Z"
"13","Agiculture, sylviculture et pêche","Culture et production animale, chasse et services annexes","Culture de fruits oléagineux","01.26Z"
"14","Agiculture, sylviculture et pêche","Culture et production animale, chasse et services annexes","Culture de plantes à boissons","01.27Z"
"15","Agiculture, sylviculture et pêche","Culture et production animale, chasse et services annexes","Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques","01.28Z"
"16","Agiculture, sylviculture et pêche","Culture et production animale, chasse et services annexes","Autres cultures permanentes","01.29Z"
"17","Agiculture, sylviculture et pêche","Culture et production animale, chasse et services annexes","Reproduction de plantes","01.30Z"
"18","Agiculture, sylviculture et pêche","Culture et production animale, chasse et services annexes","Élevage de vaches laitières","01.41Z"
"19","Agiculture, sylviculture et pêche","Culture et production animale, chasse et services annexes","Élevage d'autres bovins et de buffles","01.42Z"
"20","Agiculture, sylviculture et pêche","Culture et production animale, chasse et services annexes","Élevage de chevaux et d'autres équidés","01.43Z"
"21","Agiculture, sylviculture et pêche","Culture et production animale, chasse et services annexes","Élevage de chameaux et d'autres camélidés","01.44Z"
"22","Agiculture, sylviculture et pêche","Culture et production animale, chasse et services annexes","Élevage d'ovins et de caprins","01.45Z"
"23","Agiculture, sylviculture et pêche","Culture et production animale, chasse et services annexes","Élevage de porcins","01.46Z"
"24","Agiculture, sylviculture et pêche","Culture et production animale, chasse et services annexes","Élevage de volailles","01.47Z"
"25","Agiculture, sylviculture et pêche","Culture et production animale, chasse et services annexes","Élevage d'autres animaux","01.49Z"
"26","Agiculture, sylviculture et pêche","Culture et production animale, chasse et services annexes","Culture et élevage associés","01.50Z"
"27","Agiculture, sylviculture et pêche","Culture et production animale, chasse et services annexes","Activités de soutien aux cultures","01.61Z"
"28","Agiculture, sylviculture et pêche","Culture et production animale, chasse et services annexes","Activités de soutien à la production animale","01.62Z"
"29","Agiculture, sylviculture et pêche","Culture et production animale, chasse et services annexes","Traitement primaire des récoltes","01.63Z"
"30","Agiculture, sylviculture et pêche","Culture et production animale, chasse et services annexes","Traitement des semences","01.64Z"
"31","Agiculture, sylviculture et pêche","Culture et production animale, chasse et services annexes","Chasse, piégeage et services annexes","01.70Z"
"32","Agiculture, sylviculture et pêche","Sylviculture et exploitation forestière","Sylviculture et autres activités forestières","02.10Z"
"33","Agiculture, sylviculture et pêche","Sylviculture et exploitation forestière","Exploitation forestière","02.20Z"
